Firmware	version:	0741705B9																											
File	Creation	Date:	16/05/2019	17:49:03																									
Battery	Level:	6.5																											
TideMaster	S/N:	63590																											
Station	ID:	1																											
Site	info:	VALEPORT	MLK1																										
Calibrated:	23/03/2018																												
Mode:	B52																												
Pressure	units:	m																											
output	format:	TIDEMASTER																											
Pressure:																													
User	Pressure	cal:																											
Gain:	1.029293																												
Offset:	-0.270551																												
Vale	Pressure	cal:																											
P0:	-1.85E-09																												
P1:	0.003198																												
P2:	-1.758161																												
Wind	speed	units:	m\sec																										
Air	Pressure	units:	mBar																										
Air	Temperature	units:	DegC																										
Timestamp	Depth	Depth	stdev	Wspeed	Wspeed	stdev	Max	Gust	Wdir	Wdir	stdev	Air	Pressure	Air	Pressure	stdev	Air	Temperature	Air	Temperature	stdev	Dewpoint	Dewpoint	stdev	Humidity	Humidity	stdev	Batt	Status
																													
17/05/2019	2:40:00	1.829	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	2:45:00	1.83	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	2:50:00	1.817	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	2:55:00	1.806	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	3:00:00	1.799	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	3:05:00	1.748	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	3:10:00	1.753	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	3:15:00	1.722	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	3:20:00	1.701	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	3:25:00	1.684	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	3:30:00	1.658	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	3:35:00	1.653	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	3:40:00	1.624	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0											
17/05/2019	3:45:00	1.604	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	3:50:00	1.582	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	3:55:00	1.569	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	4:00:00	1.542	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	4:05:00	1.533	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	4:10:00	1.521	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	4:15:00	1.491	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	4:20:00	1.476	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	4:25:00	1.481	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	4:30:00	1.459	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	4:35:00	1.442	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	4:40:00	1.405	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	4:45:00	1.391	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	4:50:00	1.389	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	4:55:00	1.344	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	5:00:00	1.348	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	5:05:00	1.324	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	5:10:00	1.319	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	5:15:00	1.294	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	5:20:00	1.276	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	5:25:00	1.277	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	5:30:00	1.242	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	5:35:00	1.258	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	5:40:00	1.241	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
